,Unnamed: 0,Unnamed: 0.1,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id,year,dk_points_allowed
65,65,65,@,W 134-120 ,240,46,84,0.548,29,54,0.537,17,30,0.567,25,35,0.714,134,46,100,0.46,38,78,0.487,8,22,0.364,20,23,0.87,120,2015-10-31,GSW,NOP,2016,124.0
66,66,66,@,W 134-121 ,240,49,93,0.527,29,52,0.558,20,41,0.488,16,29,0.552,134,46,91,0.505,38,68,0.559,8,23,0.348,21,30,0.7,121,2016-02-03,GSW,WAS,2016,125.0
67,67,67,@,L 134-139 (OT),265,44,85,0.518,32,55,0.582,12,30,0.4,34,50,0.68,134,47,95,0.495,34,62,0.548,13,33,0.394,32,37,0.865,139,2016-02-10,LAC,BOS,2016,145.5
68,68,68,Home,W 134-95 ,240,51,94,0.543,36,58,0.621,15,36,0.417,17,21,0.81,134,34,87,0.391,29,67,0.433,5,20,0.25,22,27,0.815,95,2016-12-07,HOU,LAL,2017,97.5
69,69,69,Home,W 134-94 ,240,49,81,0.605,39,60,0.65,10,21,0.476,26,29,0.897,134,35,85,0.412,29,65,0.446,6,20,0.3,18,25,0.72,94,2017-01-12,SAS,LAL,2017,97.0
70,70,70,@,L 133-139 (4OT),340,49,126,0.389,43,105,0.41,6,21,0.286,29,35,0.829,133,48,107,0.449,42,88,0.477,6,19,0.316,37,47,0.787,139,2012-03-25,UTA,ATL,2012,142.0
71,71,71,Home,L 133-140 (3OT),315,51,108,0.472,43,84,0.512,8,24,0.333,23,30,0.767,133,46,93,0.495,32,67,0.478,14,26,0.538,34,43,0.791,140,2012-11-12,TOR,UTA,2013,147.0
72,72,72,@,W 133-102 ,240,55,98,0.561,42,74,0.568,13,24,0.542,10,14,0.714,133,35,87,0.402,29,64,0.453,6,23,0.261,26,35,0.743,102,2014-03-28,SAS,DEN,2014,105.0
73,73,73,Home,W 133-132 (2OT),290,49,94,0.521,42,78,0.538,7,16,0.438,28,34,0.824,133,47,102,0.461,38,80,0.475,9,22,0.409,29,32,0.906,132,2014-12-08,WAS,BOS,2015,136.5
74,74,74,Home,W 133-126 ,240,47,90,0.522,34,62,0.548,13,28,0.464,26,34,0.765,133,45,83,0.542,39,65,0.6,6,18,0.333,30,36,0.833,126,2015-04-15,GSW,DEN,2015,129.0
75,75,75,Home,W 133-111 ,240,51,82,0.622,42,62,0.677,9,20,0.45,22,30,0.733,133,42,88,0.477,34,64,0.531,8,24,0.333,19,24,0.792,111,2016-03-27,SAC,DAL,2016,115.0
76,76,76,Home,W 133-120 ,240,45,87,0.517,29,54,0.537,16,33,0.485,27,31,0.871,133,46,90,0.511,38,66,0.576,8,24,0.333,20,26,0.769,120,2016-11-13,GSW,PHO,2017,124.0
77,77,77,Home,W 133-105 ,240,54,94,0.574,37,58,0.638,17,36,0.472,8,9,0.889,133,40,83,0.482,32,64,0.5,8,19,0.421,17,26,0.654,105,2016-12-10,LAC,NOP,2017,109.0
78,78,78,@,W 133-120 ,240,52,99,0.525,38,65,0.585,14,34,0.412,15,18,0.833,133,40,80,0.5,30,55,0.545,10,25,0.4,30,39,0.769,120,2017-02-02,GSW,LAC,2017,125.0
79,79,79,Home,W 133-102 ,240,42,85,0.494,24,49,0.49,18,36,0.5,31,39,0.795,133,37,94,0.394,29,72,0.403,8,22,0.364,20,26,0.769,102,2017-02-11,HOU,PHO,2017,106.0
80,80,80,@,W 132-102 ,240,50,90,0.556,31,56,0.554,19,34,0.559,13,15,0.867,132,37,79,0.468,31,64,0.484,6,15,0.4,22,31,0.71,102,2012-12-08,SAS,CHA,2013,105.0
81,81,81,Home,W 132-114 ,240,54,99,0.545,43,74,0.581,11,25,0.44,13,21,0.619,132,39,83,0.47,25,49,0.51,14,34,0.412,22,32,0.688,114,2013-04-06,DEN,HOU,2013,121.0
82,82,82,@,W 132-128 ,240,38,80,0.475,34,64,0.531,4,16,0.25,52,64,0.813,132,50,95,0.526,38,62,0.613,12,33,0.364,16,25,0.64,128,2014-03-03,MIN,DEN,2014,134.0
83,83,83,@,W 132-125 ,240,46,77,0.597,39,60,0.65,7,17,0.412,33,40,0.825,132,46,85,0.541,36,63,0.571,10,22,0.455,23,31,0.742,125,2014-03-04,NOP,LAL,2014,130.0
84,84,84,@,W 132-129 (2OT),290,47,102,0.461,32,72,0.444,15,30,0.5,23,27,0.852,132,47,103,0.456,39,77,0.506,8,26,0.308,27,34,0.794,129,2014-12-02,DAL,CHI,2015,133.0
85,85,85,@,L 132-133 (2OT),290,47,102,0.461,38,80,0.475,9,22,0.409,29,32,0.906,132,49,94,0.521,42,78,0.538,7,16,0.438,28,34,0.824,133,2014-12-08,BOS,WAS,2015,136.5
86,86,86,Home,W 132-114 ,240,52,101,0.515,46,79,0.582,6,22,0.273,22,30,0.733,132,41,89,0.461,30,55,0.545,11,34,0.324,21,27,0.778,114,2015-10-30,SAC,LAL,2016,119.5
87,87,87,@,W 132-98 ,240,46,85,0.541,27,45,0.6,19,40,0.475,21,27,0.778,132,37,77,0.481,30,58,0.517,7,19,0.368,17,25,0.68,98,2016-01-18,GSW,CLE,2016,101.5
88,88,88,@,L 132-140 (OT),265,44,88,0.5,33,56,0.589,11,32,0.344,33,52,0.635,132,47,91,0.516,25,54,0.463,22,37,0.595,24,33,0.727,140,2016-01-18,HOU,LAC,2016,151.0
89,89,89,Home,W 132-118 ,240,52,76,0.684,42,58,0.724,10,18,0.556,18,22,0.818,132,45,92,0.489,36,66,0.545,9,26,0.346,19,26,0.731,118,2016-03-05,MIN,BRK,2016,122.5
90,90,90,Home,W 132-120 (OT),265,49,89,0.551,34,64,0.531,15,25,0.6,19,23,0.826,132,42,104,0.404,24,58,0.414,18,46,0.391,18,28,0.643,120,2016-03-20,DAL,POR,2016,129.0
91,91,91,@,W 132-129 (2OT),290,51,96,0.531,43,70,0.614,8,26,0.308,22,22,1.0,132,50,100,0.5,37,71,0.521,13,29,0.448,16,23,0.696,129,2016-03-25,MIN,WAS,2016,135.5
92,92,92,@,W 132-129 (OT),265,48,95,0.505,35,69,0.507,13,26,0.5,23,29,0.793,132,48,101,0.475,36,67,0.537,12,34,0.353,21,27,0.778,129,2016-11-25,OKC,DEN,2017,135.0
93,93,93,@,W 132-127 (2OT),290,48,108,0.444,34,64,0.531,14,44,0.318,22,30,0.733,132,43,104,0.413,31,60,0.517,12,44,0.273,29,37,0.784,127,2016-12-01,HOU,GSW,2017,133.0
94,94,94,Home,W 132-98 ,240,50,85,0.588,28,43,0.651,22,42,0.524,10,16,0.625,132,39,92,0.424,28,60,0.467,11,32,0.344,9,11,0.818,98,2016-12-14,HOU,SAC,2017,103.5
95,95,95,Home,W 132-120 ,240,43,84,0.512,28,53,0.528,15,31,0.484,31,35,0.886,132,41,88,0.466,33,65,0.508,8,23,0.348,30,36,0.833,120,2016-12-15,DEN,POR,2017,124.0
96,96,96,Home,W 132-113 ,240,52,97,0.536,41,69,0.594,11,28,0.393,17,21,0.81,132,40,86,0.465,23,50,0.46,17,36,0.472,16,20,0.8,113,2017-01-13,TOR,BRK,2017,121.5
97,97,97,@,W 132-117 ,240,46,84,0.548,30,48,0.625,16,36,0.444,24,26,0.923,132,41,82,0.5,28,57,0.491,13,25,0.52,22,26,0.846,117,2017-02-08,CLE,IND,2017,123.5
98,98,98,Home,W 132-110 ,240,48,88,0.545,24,47,0.511,24,41,0.585,12,16,0.75,132,45,92,0.489,37,60,0.617,8,32,0.25,12,13,0.923,110,2017-02-13,DEN,GSW,2017,114.0
99,99,99,@,W 131-102 ,240,56,89,0.629,51,79,0.646,5,10,0.5,14,20,0.7,131,40,89,0.449,30,62,0.484,10,27,0.37,12,19,0.632,102,2012-04-26,DEN,MIN,2012,107.0
100,100,0,Home,W 131-103 ,240,46,89,0.517,32,64,0.5,14,25,0.56,25,28,0.893,131,37,86,0.43,20,47,0.426,17,39,0.436,12,14,0.857,103,2012-11-23,HOU,NYK,2013,111.5
101,101,1,Home,W 131-99 ,240,45,91,0.495,32,68,0.471,13,23,0.565,28,35,0.8,131,33,82,0.402,26,58,0.448,7,24,0.292,26,31,0.839,99,2012-12-07,UTA,TOR,2013,102.5
102,102,2,Home,W 131-127 ,240,43,86,0.5,32,67,0.478,11,19,0.579,34,42,0.81,131,46,92,0.5,33,66,0.5,13,26,0.5,22,25,0.88,127,2012-12-19,SAC,GSW,2013,133.5
